timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692275669100,1014,Auth,200,OK,Oauth generation 1-1,text,true,,343,266,1,1,https://api-testa.business.bt.com/oauth/accesstoken?grant_type=client_credentials,1009,0,964
1692275670367,717,Location Name based search,200,OK,Location Name based search 2-4,text,true,,1381,328,16,16,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=urf,717,0,54
1692275670250,944,Location Name based search,200,OK,Location Name based search 2-2,text,true,,386,328,17,17,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ljd,944,0,60
1692275670309,898,Location Name based search,200,OK,Location Name based search 2-3,text,true,,386,328,16,16,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=luo,898,0,51
1692275670199,1049,Location Name based search,200,OK,Location Name based search 2-1,text,true,,390,328,16,16,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=mxv,1049,0,112
1692275670607,641,Location Name based search,200,OK,Location Name based search 2-8,text,true,,1539,328,16,16,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ghw,641,0,71
1692275670535,733,Location Name based search,200,OK,Location Name based search 2-7,text,true,,386,328,14,14,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=xau,733,0,50
1692275670411,876,Location Name based search,200,OK,Location Name based search 2-5,text,true,,386,328,13,13,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=rfd,876,0,49
1692275670487,832,Location Name based search,200,OK,Location Name based search 2-6,text,true,,386,328,13,13,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=trw,832,0,50
1692275670651,778,Location Name based search,200,OK,Location Name based search 2-9,text,true,,386,328,14,14,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=liq,778,0,50
1692275670724,772,Location Name based search,200,OK,Location Name based search 2-10,text,true,,26180,328,14,14,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=ang,771,0,52
1692275670943,741,Location Name based search,200,OK,Location Name based search 2-14,text,true,,1009,328,16,16,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=umw,741,0,63
1692275670829,890,Location Name based search,200,OK,Location Name based search 2-12,text,true,,386,328,15,15,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=vkp,890,0,52
1692275670884,856,Location Name based search,200,OK,Location Name based search 2-13,text,true,,386,328,15,15,https://api-testa.business.bt.com/v1/footfall/reports/location-details?search_type=location-name-search&location_name=kql,856,0,50
